plate_id,digits,letters,format
1,076,LLW,old
2,062,COZ,old
3,777,UND,old
4,845,KEY,old
5,764,VOM,old
6,420,OXB,old
7,882,QET,old
8,730,ZMX,old
9,677,EKM,old
10,405,DTS,old
11,973,ZLJ,old
12,930,MUE,old
13,416,MJF,old
14,569,LEV,old
15,670,HUV,old
16,488,KXH,old
17,266,DVE,old
18,807,UUR,old
19,472,UOM,old
20,550,DGC,old
21,466,MWP,old
22,075,QPO,old
23,057,HQA,old
24,349,FGL,old
25,980,FVB,old
26,829,HLR,old
27,155,UZR,old
28,444,VJE,old
29,301,CUT,old
30,647,EXN,old
31,914,SNM,old
32,132,HSQ,old
33,639,CJC,old
34,393,XNS,old
35,427,ZGU,old
36,277,MTG,old
37,004,XDM,old
38,727,HVP,old
39,514,WAT,old
40,476,LHQ,old
41,150,RQC,old
42,747,BEN,old
43,136,DRC,old
44,157,EHY,old
45,954,JQP,old
46,201,YLN,old
47,470,CGN,old
48,644,YEP,old
49,548,GYJ,old
50,558,LHA,old
51,380,XOD,old
52,353,CRR,old
53,122,RTT,old
54,973,CQX,old
55,922,ADO,old
56,533,VMV,old
57,932,YQH,old
58,659,GZY,old
59,115,BHL,old
60,991,XCT,old
61,882,XCNM,new
62,307,JRLK,new
63,807,TKGA,new
64,992,ADBV,new
65,817,EKPS,new
66,801,HHZU,new
67,394,NLDY,new
68,012,GDAR,new
69,912,NYSU,new
70,541,WVAS,new
71,078,DLDP,new
72,903,ZHDN,new
73,563,YOHZ,new
74,940,PODQ,new
75,817,DTLA,new
76,915,EYTV,new
77,446,UWAR,new
78,128,GUMF,new
79,357,QYWT,new
80,624,CKYL,new
81,169,WGMO,new
82,222,ZTWV,new
83,918,BMPJ,new
84,118,HHYD,new
85,995,EDHP,new
86,141,OASB,new
87,118,BLPN,new
88,683,VHZN,new
89,787,WOBN,new
90,182,FGRP,new
91,942,BAKY,new
92,581,CVCB,new
93,496,CVWV,new
94,929,JVPU,new
95,666,UTDV,new
96,535,ZWVM,new
97,736,QGGB,new
98,144,ELQF,new
99,335,KTJL,new
100,316,FHUY,new
101,698,NUJM,new
102,598,NRFV,new
103,557,QBHE,new
104,702,PSNW,new
105,919,QQCQ,new
106,750,OYTD,new
107,991,VLPM,new
108,797,YYCG,new
109,750,COQE,new
110,115,APMM,new
111,657,UYUN,new
112,425,DYWC,new
113,717,CNRT,new
114,497,FRTJ,new
115,788,UQGU,new
116,353,HDZD,new
117,095,LTKD,new
118,715,YYKU,new
119,641,KRZA,new
120,789,LCGW,new
121,861,DMPA,new
122,650,CMTV,new
123,429,MHMA,new
124,359,TUOC,new
125,390,WSHU,new
126,801,RZAR,new
127,166,CSXW,new
128,022,MDWU,new
129,810,XHRX,new
130,000,DBVQ,new
131,989,FHWG,new
132,068,ZYDU,new
133,868,VMBM,new
134,211,SNOT,new
135,560,WMDV,new
136,701,AGCS,new
137,597,QNBB,new
138,600,FXMS,new
139,413,CUEK,new
140,954,OUGQ,new
141,854,DGYO,new
142,345,OSGR,new
143,491,DMNS,new
144,494,DCZD,new
145,920,HQLU,new
146,646,ZLDL,new
147,829,PQHY,new
148,024,MMDF,new
149,053,PPSO,new
150,656,QHGU,new
