plate_id,digits,letters,format
1,514,MZH,old
2,368,ACZD,new
3,005,LTM,old
4,995,LOK,old
5,734,ABKQ,new
6,260,HNI,old
7,942,AHIU,new
8,042,XKL,old
9,042,ADJA,new
10,446,BHD,old
11,886,ACLI,new
12,375,AGED,new
13,492,ACCV,new
14,834,PEG,old
15,996,ACXU,new
16,998,INI,old
17,778,AHPF,new
18,143,AGKB,new
19,082,AFMH,new
20,125,LOL,old
21,088,NRW,old
22,133,AGIC,new
23,813,AGXO,new
24,888,AEKM,new
25,846,ADXB,new
26,081,AIUQ,new
27,782,ACKO,new
28,189,ACNJ,new
29,268,AEJY,new
30,488,IGF,old
31,762,AFTN,new
32,412,ABLY,new
33,468,LSH,old
34,794,NAB,old
35,124,AFJX,new
36,116,AFBL,new
37,111,LBF,old
38,993,ADIC,new
39,569,HQC,old
40,926,ACDK,new
41,982,LPN,old
42,034,ABZC,new
43,709,PBK,old
44,346,KDP,old
45,944,ABAF,new
46,671,AFOZ,new
47,608,DMB,old
48,253,NJO,old
49,486,ACJT,new
50,336,ISM,old
51,877,EHA,old
52,143,MTA,old
53,683,OQQ,old
54,829,OXF,old
55,862,AENI,new
56,040,IWI,old
57,335,ADFR,new
58,676,AGYL,new
59,907,AEAG,new
60,160,AGVS,new
61,406,AGWW,new
62,996,KSY,old
63,004,HER,old
64,974,AHSL,new
65,278,AGSF,new
66,493,AHFJ,new
67,403,GZK,old
68,349,KFR,old
69,600,JRF,old
70,970,MNR,old
71,470,AFEC,new
72,160,AGVT,new
73,093,IVE,old
74,106,AAOH,new
75,731,HUZ,old
76,873,KEE,old
77,918,GDM,old
78,958,ADYI,new
79,773,LWF,old
80,039,PKZ,old
81,584,LHK,old
82,646,NZD,old
83,139,IQE,old
84,338,AGTV,new
85,342,AGUQ,new
86,774,JVT,old
87,027,AFPZ,new
88,714,AAAK,new
89,118,AGIP,new
90,921,AEZH,new
91,969,AGZX,new
92,186,AIZP,new
93,894,LIH,old
94,062,OBC,old
95,688,NAX,old
96,740,FDU,old
97,327,PCR,old
98,045,JAA,old
99,772,NST,old
100,392,DYI,old
101,694,PLV,old
102,550,EPW,old
103,686,AEAW,new
104,609,IFL,old
105,287,LNE,old
106,964,ADBN,new
107,163,ABFZ,new
108,091,ABWF,new
109,400,AFON,new
110,155,AHYP,new
111,128,EME,old
112,341,GDX,old
113,214,AEIF,new
114,868,JKG,old
115,683,AAUD,new
116,821,CAS,old
117,110,KRJ,old
118,327,AGJW,new
119,743,EVM,old
120,523,KDP,old
121,895,AEXP,new
122,464,AGEP,new
123,076,AIXL,new
124,245,OYR,old
125,969,OMS,old
126,161,ACXC,new
127,961,JBB,old
128,951,ABLO,new
129,562,ABYP,new
130,431,AEVP,new
131,994,AGFY,new
132,512,HBQ,old
133,594,ABKV,new
134,422,PBR,old
135,583,ABGQ,new
136,561,IVY,old
137,486,AXID,new
138,574,KBY,old
139,052,JTX,old
140,173,MMF,old
141,990,AFTO,new
142,906,AEXS,new
143,015,LXV,old
144,470,AEXX,new
145,583,AHAG,new
146,133,KZE,old
147,060,LCG,old
148,826,AGTV,new
149,394,ICX,old
150,587,MBW,old
151,107,NSL,old
152,384,FHF,old
153,992,NQX,old
154,593,AERV,new
155,753,ABDH,new
156,931,FDS,old
157,778,JAR,old
158,333,GEH,old
159,586,ABWS,new
160,893,GKG,old
161,552,MLG,old
162,611,KQS,old
163,962,ADEU,new
164,746,LJP,old
165,252,AIYT,new
166,064,ADCW,new
167,403,AGTP,new
168,035,ERK,old
169,900,GZT,old
170,217,MOF,old
171,380,AEPW,new
172,452,OMV,old
173,816,NBN,old
174,427,KDI,old
175,875,JYA,old
176,298,IES,old
177,723,IIP,old
178,500,FEU,old
179,846,EUS,old
180,849,FLT,old
181,446,HRC,old
182,107,HPP,old
183,623,JBR,old
184,794,ADSC,new
185,428,AEWF,new
186,793,ACKO,new
187,111,GET,old
188,887,MBD,old
189,175,MLY,old
190,790,HOU,old
191,865,MBE,old
192,403,FES,old
193,563,HPG,old
194,238,OLK,old
195,092,AFCW,new
196,310,ACSK,new
197,394,AEBD,new
198,310,ACSK,new
199,092,AFCW,new
200,999,JSL,old
201,241,KFI,old
202,150,AIRV,new
203,361,ACVI,new
204,847,ACZR,new
205,847,AFMV,new
206,421,AEFM,new
207,567,AGCM,new
208,162,ABAL,new
209,298,ACZV,new
210,583,AHPO,new
211,434,AEXD,new
212,825,NGR,old
213,943,HBX,old
214,783,NES,old
215,964,AGVL,new
216,039,AJS,old
217,891,DSZ,old
218,157,AXY,old
219,420,SXY,old
